class,t0,hour_mean_w_pergpu,n_gpus,r_1min,r_1min_node,r_5min,r_5min_node,r_15min,r_15min_node
training (SD),2025-09-20 14:00:00,628.3584464424788,4,0.6483159165988578,0.6484063419110317,0.9093598709237646,0.9094296479495546,0.9700629136386602,0.9701247153983227
training (SD),2025-09-20 14:10:00,616.259951407432,4,0.4181954374223822,0.4182903568717791,0.9062641977016932,0.9063187864463332,0.9505654859135183,0.9506141457902952
training (SD),2025-09-20 14:20:00,611.0754655632823,4,0.421741582602914,0.4218392154926159,0.91395956523322,0.9140081753735858,0.9586375941672948,0.9586793453602949
training (SD),2025-09-20 14:30:00,611.1939854806408,4,0.4216602483337358,0.42175741437849096,0.9137824976490224,0.9138309351258351,0.9584518693496121,0.9584934426853919
training (SD),2025-09-20 14:40:00,610.8623557660213,4,0.42188905665036747,0.42198638132930855,0.9142784508591639,0.9143270427830932,0.9589720612512806,0.9590137970726971
training (SD),2025-09-20 14:50:00,611.8460705245884,4,0.42121127454754737,0.4213079194559291,0.9128046463588569,0.912857004730268,0.9574258940076168,0.9574719124855475
training (SD),2025-09-20 15:00:00,617.1468303154206,4,0.4175977724913787,0.4176892472545832,0.9049558081130306,0.9050163492042879,0.9491924541519835,0.9492480533239268
training (SD),2025-09-20 15:10:00,627.7592250514547,4,0.5554370766085641,0.5554655462128048,0.9171299926832024,0.9171581356319745,0.979502231459792,0.9795052885331526
training (SD),2025-09-20 15:20:00,627.8339278621496,4,0.5395682657214274,0.5396564554271991,0.9153336149477003,0.9153932981877128,0.9413166037734331,0.9413862941215685
training (SD),2025-09-20 15:30:00,621.9548393552515,4,0.5446652307757479,0.5447576104693632,0.9048329233153711,0.9049157567918765,0.9502209908378636,0.9502848394694251
training (SD),2025-09-20 15:40:00,611.842166393169,4,0.5432108526545063,0.5435620899213326,0.9197953712500606,0.9198724198159661,0.9656627905107154,0.9659913734911486
training (SD),2025-09-20 15:50:00,611.9093455943705,4,0.5431509760585276,0.5435024143055454,0.9196941578052451,0.9197714305194054,0.9655564723106289,0.9658853209699607
training (SD),2025-09-20 16:00:00,611.8719612838628,4,0.5431841801238172,0.5435356213558822,0.9197503284274074,0.9198276269508981,0.9656155063494367,0.9659443348797961
training (SD),2025-09-20 16:10:00,613.0795252419894,4,0.542113521392427,0.5424650358946433,0.9179378052582083,0.9180158706545897,0.9637124382444753,0.9640417439167445
training (SD),2025-09-20 16:20:00,617.7865541525281,4,0.5383110753704676,0.5383318954276819,0.9109381714163138,0.9110213395912967,0.959442305133279,0.9594717809349457
training (SD),2025-09-20 16:30:00,623.5165975714922,4,0.5333589681132552,0.533384689296156,0.9149013479819764,0.9149744142782935,0.9506144916897065,0.9506543493133316
training (SD),2025-09-20 10:40:00,606.2949257384437,4,0.19462265427318837,0.19462084583206182,0.8570043806800713,0.8570080521647235,0.9803456119200539,0.9803494336899511
training (SD),2025-09-20 10:50:00,621.4044548311733,4,0.5458953562038569,0.5458985083912252,0.9124882893170894,0.9124865620687376,0.956507259484645,0.9565121113562969
training (SD),2025-09-20 11:00:00,626.6491292345775,4,0.578483834908007,0.5784898514252399,0.9048499130294713,0.9048496011407337,0.9485008917211581,0.9485066831941228
training (SD),2025-09-20 11:10:00,624.7843537297658,4,0.4907066032355197,0.49072362435089123,0.9074094276684139,0.9075502791613546,0.9684360674297681,0.9684472711656439
training (SD),2025-09-20 11:20:00,623.503330134624,4,0.4772744021963997,0.47728626261292384,0.9094392924426916,0.909455203189738,0.9436286816319204,0.943641055247086
