model,training_fraction,offline_fraction,hours,coverage,n_windows,combined_mw,incremental_shift_mw,combined_actual_coverage,combined_linear_quantile_mw
power_curves,0.5,0.5,4,0.9,4433,6.014803644012962,3.1399322853711777,0.9002932551319648,6.014803644012962
power_curves,0.5,0.5,4,0.95,4433,5.635075585263545,3.0314128577353667,0.9501466275659824,5.637966997687727
power_curves,0.5,0.5,4,0.99,4433,5.107373238759803,2.8602616782472885,0.9907511842995714,5.111449606743291
power_curves,0.5,0.5,24,0.5,4393,6.600432848400828,3.4533695248149954,0.5039836102890963,6.600432848400828
power_curves,0.5,0.5,24,0.8,4393,6.014659830236779,3.13094706647291,0.8033234691554746,6.014659830236779
power_curves,0.5,0.5,24,0.9,4393,5.613094875122929,3.0003138357468244,0.9002959253357614,5.613094875122929
power_curves,0.5,0.5,24,0.95,4393,5.168322227403527,2.9030665156137583,0.9510585021625313,5.168322227403527
power_curves,0.5,0.5,24,0.99,4393,4.803802683893101,2.732978280020013,0.9943091281584339,4.803802683893101
power_curves,0.5,0.75,1,0.5,4439,7.300193361967503,3.75735765069737,0.5001126379815274,7.300193361967503
power_curves,0.5,0.75,1,0.8,4439,6.650581747948516,3.4005073258393117,0.8001802207704438,6.650727904557829
power_curves,0.5,0.75,1,0.9,4439,6.2656897340982365,3.2530452048259133,0.9002027483667493,6.266703780254385
power_curves,0.5,0.75,1,0.95,4439,5.93569700685102,3.1425369856085243,0.950214012164902,5.936151026847889
power_curves,0.5,0.75,1,0.99,4439,5.361879759363082,2.9478899850510616,0.9900878576255914,5.36707673158558
power_curves,0.5,0.75,4,0.5,4433,7.049636336293842,3.6882032280971684,0.500112790435371,7.049636336293842
power_curves,0.5,0.75,4,0.8,4433,6.459163121769565,3.3379552313160232,0.8001353485224453,6.459524059283603
power_curves,0.5,0.75,4,0.9,4433,6.082484776154127,3.1896438971176453,0.900518836002707,6.082484776154127
power_curves,0.5,0.75,4,0.95,4433,5.708705138141629,3.079881761217869,0.9505977893074667,5.708705138141629
power_curves,0.5,0.75,4,0.99,4433,5.189229704791433,2.917612616921324,0.9905256034288292,5.189229704791433
power_curves,0.5,0.75,24,0.5,4393,6.619552748419591,3.4679362638009814,0.5012519918051446,6.619552748419591
power_curves,0.5,0.75,24,0.8,4393,6.082484776154127,3.1843793809690126,0.8003642157978602,6.082484776154127
power_curves,0.5,0.75,24,0.9,4393,5.648724793841533,3.0367922584498053,0.9007511950830868,5.648724793841533
power_curves,0.5,0.75,24,0.95,4393,5.239187798266202,2.9605218454160958,0.9501479626678807,5.244253103198279
power_curves,0.5,0.75,24,0.99,4393,4.819564522248035,2.748021330842314,0.9945367630320965,4.819564522248035
power_curves,0.5,1.0,1,0.5,4439,7.332109278688877,3.7916575639337036,0.5001126379815274,7.332109278688877
power_curves,0.5,1.0,1,0.8,4439,6.705811784306839,3.460528741833715,0.8001802207704438,6.705880544813888
power_curves,0.5,1.0,1,0.9,4439,6.337462414091711,3.3055523164561325,0.9002027483667493,6.339303298226196
power_curves,0.5,1.0,1,0.95,4439,5.994251296800934,3.186758675345557,0.950214012164902,5.996787689837398
power_curves,0.5,1.0,1,0.99,4439,5.451659166845921,2.988826446020067,0.9900878576255914,5.454070276401984
power_curves,0.5,1.0,4,0.5,4433,7.0909697177473525,3.7231807141243505,0.5003383713061132,7.0909697177473525
power_curves,0.5,1.0,4,0.8,4433,6.497751863167013,3.393082134480427,0.8008120911346718,6.499261019965135
power_curves,0.5,1.0,4,0.9,4433,6.137067510635765,3.247829442355326,0.9000676742612227,6.137407455470129
power_curves,0.5,1.0,4,0.95,4433,5.75016697567816,3.113845038455558,0.9505977893074667,5.7531800594188915
power_curves,0.5,1.0,4,0.99,4433,5.275085876771884,2.954263360574167,0.9900744416873449,5.275085876771884
power_curves,0.5,1.0,24,0.5,4393,6.652938457319794,3.497906527235786,0.500341452310494,6.652938457319794
power_curves,0.5,1.0,24,0.8,4393,6.108672288764896,3.2282028860038077,0.8015023901661734,6.108672288764896
power_curves,0.5,1.0,24,0.9,4393,5.713989144055357,3.083477051164554,0.9007511950830868,5.713989144055357
power_curves,0.5,1.0,24,0.95,4393,5.2841087312476365,3.003476505432794,0.9503755975415433,5.2841087312476365
power_curves,0.5,1.0,24,0.99,4393,4.94323587719879,2.753545209838785,0.9945367630320965,4.94323587719879
power_curves,0.75,0.0,1,0.5,4439,9.06735419897583,5.520887292263284,0.5001126379815274,9.06735419897583
power_curves,0.75,0.0,1,0.8,4439,8.141217350940044,4.8499120904216415,0.8001802207704438,8.141257131870804
power_curves,0.75,0.0,1,0.9,4439,7.647466634383772,4.593535877296185,0.9002027483667493,7.6476995153130085
power_curves,0.75,0.0,1,0.95,4439,7.2985225069547885,4.437642269089064,0.950214012164902,7.29931262666367
power_curves,0.75,0.0,1,0.99,4439,6.670018372606783,4.166573236752202,0.9900878576255914,6.675598450996809
power_curves,0.75,0.0,4,0.5,4433,8.822806955658084,5.417203767188075,0.5003383713061132,8.822806955658084
power_curves,0.75,0.0,4,0.8,4433,7.914792678682688,4.7596031189512376,0.8001353485224453,7.914980441164514
power_curves,0.75,0.0,4,0.9,4433,7.455712762232686,4.502702818143334,0.9000676742612227,7.45584402640516
power_curves,0.75,0.0,4,0.95,4433,7.094033330409653,4.363286181618898,0.9505977893074667,7.094848820741821
power_curves,0.75,0.0,4,0.99,4433,6.473169880349959,4.097174540779351,0.9900744416873449,6.473169880349959
power_curves,0.75,0.0,24,0.5,4393,8.370086627099203,5.145796999358741,0.5046665149100842,8.370086627099203
power_curves,0.75,0.0,24,0.8,4393,7.424512820132637,4.568251979660226,0.8001365809241976,7.426400052764232
power_curves,0.75,0.0,24,0.9,4393,7.060629790494985,4.345106820458338,0.9053038925563396,7.06080597203522
power_curves,0.75,0.0,24,0.95,4393,6.64063179590179,4.1190363162361585,0.9519690416571819,6.64063179590179
power_curves,0.75,0.0,24,0.99,4393,6.2291692690584295,3.9488317974568634,0.9938538584111086,6.2291692690584295
power_curves,0.75,0.25,1,0.5,4439,9.092466247456313,5.539551464729975,0.5001126379815274,9.092466247456313
power_curves,0.75,0.25,1,0.8,4439,8.202361777948923,4.903779887655449,0.8001802207704438,8.203817548072394
power_curves,0.75,0.25,1,0.9,4439,7.719799133769297,4.65917832327153,0.9002027483667493,7.7231192275581755
